"的","真的","<div class=""pronunciation""><p><span class=""pinyin"">de</span></p></div><div class=""meanings""><p>of; ~'s (possessive particle)</p><p>(used after an attribute when it modifies a noun)</p><p>(used at the end of a declarative sentence for emphasis)</p><p>(used after a noun, verb or adjective to form a nominal expression, as in <span class=""chinese"">皮革的</span> <span class=""pinyin"">pígé de</span> ""one made of leather"" or <span class=""chinese"">跑堂儿的</span> <span class=""pinyin"">pǎotángrde</span> ""a waiter (literally, one who runs back and forth in a restaurant)"" or <span class=""chinese"">新的</span> <span class=""pinyin"">xīn de</span> ""new one"")</p><p>also pr.  <span class=""pinyin"">dì</span> or  <span class=""pinyin"">di</span> in poetry and songs</p></div><div class=""pronunciation""><p><span class=""pinyin"">dī</span></p></div><div class=""meanings""><p>a taxi; a cab (abbr. for <span class=""chinese"">的士</span> <span class=""pinyin"">dīshì</span>)</p></div><div class=""pronunciation""><p><span class=""pinyin"">dí</span></p></div><div class=""meanings""><p>really and truly</p></div><div class=""pronunciation""><p><span class=""pinyin"">dì</span></p></div><div class=""meanings""><p>(bound form) bull's-eye; target</p></div>","<div class=""pronunciation""><p><span class=""pinyin"">zhēnde</span></p></div><div class=""meanings""><p>really; truly; indeed</p><p>real; true; genuine</p><p>(math.) proper</p></div>","117819","1",""
"我","我们","<div class=""pronunciation""><p><span class=""pinyin"">wǒ</span></p></div><div class=""meanings""><p>I; me; my</p></div>","<div class=""pronunciation""><p><span class=""pinyin"">wǒmen</span></p></div><div class=""meanings""><p>we; us; ourselves; our</p></div>","827393","1","我"
"你","你们","<div class=""pronunciation""><p><span class=""pinyin"">nǐ</span></p></div><div class=""meanings""><p>you (informal, as opposed to courteous <span class=""chinese"">您</span> <span class=""pinyin"">nín</span>)</p><p>you (Note: In Taiwan, <span class=""chinese"">妳</span> is used to address females, but in mainland China, it is not commonly used. Instead, <span class=""chinese"">你</span> is used to address both males and females.)</p></div>","<div class=""pronunciation""><p><span class=""pinyin"">nǐmen</span></p></div><div class=""meanings""><p>you (plural)</p></div>","207368","1","鿭"
"了","为了","<div class=""pronunciation""><p><span class=""pinyin"">le</span></p></div><div class=""meanings""><p>(completed action marker)</p><p>(modal particle indicating change of state, situation now)</p><p>(modal particle intensifying preceding clause)</p></div><div class=""pronunciation""><p><span class=""pinyin"">liǎo</span></p></div><div class=""meanings""><p>to finish</p><p>(used with <span class=""chinese"">得</span> <span class=""pinyin"">dé</span> or <span class=""chinese"">不</span> <span class=""pinyin"">bù</span> after a verb to express (im)possibility, as in <span class=""chinese"">忘不了</span> <span class=""pinyin"">wàngbuliǎo</span> ""cannot forget"")</p><p>(literary) (usually followed by a negative such as <span class=""chinese"">无</span> <span class=""pinyin"">wú</span> or <span class=""chinese"">不</span> <span class=""pinyin"">bù</span>) completely (not); entirely (not); (not) in the least</p><p>to understand clearly (variant of <span class=""chinese"">了</span> <span class=""pinyin"">liǎo</span>)</p><p>(of eyes) bright</p><p>clear-sighted</p><p>to understand clearly</p></div><div class=""pronunciation""><p><span class=""pinyin"">liào</span></p></div><div class=""meanings""><p>unofficial variant of <span class=""chinese"">瞭</span> <span class=""pinyin"">liào</span></p></div>","<div class=""pronunciation""><p><span class=""pinyin"">wèile</span></p></div><div class=""meanings""><p>for; for the purpose of; in order to</p></div>","42835","1",""
"是","不是","<div class=""pronunciation""><p><span class=""pinyin"">shì</span></p></div><div class=""meanings""><p>to be (followed by substantives only)</p><p>correct; right; true</p><p>(respectful acknowledgement of a command) very well</p><p>(adverb for emphatic assertion)</p></div>","<div class=""pronunciation""><p><span class=""pinyin"">bùshì</span></p></div><div class=""meanings""><p>no</p><p>is not</p><p>not</p></div><div class=""pronunciation""><p><span class=""pinyin"">bùshi</span></p></div><div class=""meanings""><p>fault; blame</p></div>","253201","1","饰"
"在","现在","<div class=""pronunciation""><p><span class=""pinyin"">zài</span></p></div><div class=""meanings""><p>to exist; to be alive</p><p>(of sb or sth) to be (located) at</p><p>(used before a verb to indicate an action in progress)</p></div>","<div class=""pronunciation""><p><span class=""pinyin"">xiànzài</span></p></div><div class=""meanings""><p>now</p><p>at present</p><p>at the moment</p><p>modern</p><p>current</p><p>nowadays</p></div>","191204","1","縡"
"他","他们","<div class=""pronunciation""><p><span class=""pinyin"">tā</span></p></div><div class=""meanings""><p>(third-person singular) (since the early 20th century, usu. male) he; him; his</p><p>(bound form) other; another; some other (as in <span class=""chinese"">他日</span> <span class=""pinyin"">tārì</span> and <span class=""chinese"">他人</span> <span class=""pinyin"">tārén</span>)</p></div>","<div class=""pronunciation""><p><span class=""pinyin"">tāmen</span></p></div><div class=""meanings""><p>they; them</p></div>","330294","1","铊"
"不","不是","<div class=""pronunciation""><p><span class=""pinyin"">bù</span></p></div><div class=""meanings""><p>no; not so</p><p>(bound form) not; un-</p></div>","<div class=""pronunciation""><p><span class=""pinyin"">bùshì</span></p></div><div class=""meanings""><p>no</p><p>is not</p><p>not</p></div><div class=""pronunciation""><p><span class=""pinyin"">bùshi</span></p></div><div class=""meanings""><p>fault; blame</p></div>","253201","1","钚"
"吗","干吗","<div class=""pronunciation""><p><span class=""pinyin"">má</span></p></div><div class=""meanings""><p>(coll.) what?</p></div><div class=""pronunciation""><p><span class=""pinyin"">mǎ</span></p></div><div class=""meanings""><p>used in <span class=""chinese"">吗啡</span> <span class=""pinyin"">mǎfēi</span></p></div><div class=""pronunciation""><p><span class=""pinyin"">ma</span></p></div><div class=""meanings""><p>(question particle for ""yes-no"" questions)</p></div>","<div class=""pronunciation""><p><span class=""pinyin"">gànmá</span></p></div><div class=""meanings""><p>variant of <span class=""chinese"">干嘛</span> <span class=""pinyin"">gànmá</span></p></div>","4749","1","痲"
"好","你好","<div class=""pronunciation""><p><span class=""pinyin"">hǎo</span></p></div><div class=""meanings""><p>good</p><p>appropriate; proper</p><p>all right!</p><p>(before a verb) easy to</p><p>(before a verb) good to</p><p>(before an adjective for exclamatory effect) so</p><p>(verb complement indicating completion)</p><p>(of two people) close; on intimate terms</p><p>(after a personal pronoun) hello</p></div><div class=""pronunciation""><p><span class=""pinyin"">hào</span></p></div><div class=""meanings""><p>to be fond of; to have a tendency to; to be prone to</p></div>","<div class=""pronunciation""><p><span class=""pinyin"">nǐhǎo</span></p></div><div class=""meanings""><p>hello</p><p>hi</p></div>","50640","1","郝"
"有","没有","<div class=""pronunciation""><p><span class=""pinyin"">yǒu</span></p></div><div class=""meanings""><p>to have; there is</p><p>(bound form) having; with; -ful; -ed; -al (as in <span class=""chinese"">有意</span> <span class=""pinyin"">yǒuyì</span> intentional)</p></div>","<div class=""pronunciation""><p><span class=""pinyin"">méiyǒu</span></p></div><div class=""meanings""><p>haven't</p><p>hasn't</p><p>doesn't exist</p><p>to not have</p><p>to not be</p></div>","257229","1","黝"
"就","就是","<div class=""pronunciation""><p><span class=""pinyin"">jiù</span></p></div><div class=""meanings""><p>(after a suppositional clause) in that case; then</p><p>(after a clause of action) as soon as; immediately after</p><p>(same as <span class=""chinese"">就是</span> <span class=""pinyin"">jiù shì</span>) merely; nothing else but; simply; just; precisely; exactly</p><p>only; as little as</p><p>as much as; as many as</p><p>to approach; to move towards</p><p>to undertake; to engage in</p><p>(often followed by <span class=""chinese"">着</span> <span class=""pinyin"">zhe</span>) taking advantage of</p><p>(of food) to go with</p><p>with regard to; concerning</p><p>(pattern: <span class=""chinese"">就</span> <span class=""pinyin"">jiù</span> ... <span class=""chinese"">也</span> <span class=""pinyin"">yě</span> ...) even if ... still ...</p><p>(pattern: <span class=""chinese"">不</span> <span class=""pinyin"">bù</span> ... <span class=""chinese"">就</span> <span class=""pinyin"">jiù</span> ...) if not ... then must be ...</p></div>","<div class=""pronunciation""><p><span class=""pinyin"">jiùshì</span></p></div><div class=""meanings""><p>exactly; precisely</p><p>only; simply; just</p><p>(used correlatively with <span class=""chinese"">也</span> <span class=""pinyin"">yě</span>) even; even if</p></div>","174001","1","鹫"
